"","SentenceID","Word","Region","deletion_rate","Surprisal","Label","critical_word","Sentence","Condition"
"1",1,"was",7,0.1,3.316125,"exp.b.1","was","The insinuation that the teacher failed the student was only a malicious smear.","b"
"2",1,"was",7,0.15,3.3125,"exp.b.1","was","The insinuation that the teacher failed the student was only a malicious smear.","b"
"3",1,"was",7,0.2,3.3326,"exp.b.1","was","The insinuation that the teacher failed the student was only a malicious smear.","b"
"4",1,"was",7,0.25,3.312,"exp.b.1","was","The insinuation that the teacher failed the student was only a malicious smear.","b"
"5",1,"was",7,0.3,3.5525,"exp.b.1","was","The insinuation that the teacher failed the student was only a malicious smear.","b"
"6",1,"was",7,0.4,3.59103125,"exp.b.1","was","The insinuation that the teacher failed the student was only a malicious smear.","b"
"7",1,"was",7,0.5,3.7095,"exp.b.1","was","The insinuation that the teacher failed the student was only a malicious smear.","b"
"8",1,"was",7,0.6,3.561375,"exp.b.1","was","The insinuation that the teacher failed the student was only a malicious smear.","b"
"9",1,"was",7,0.65,3.8505,"exp.b.1","was","The insinuation that the teacher failed the student was only a malicious smear.","b"
"10",1,"was",7,0.7,4.5680625,"exp.b.1","was","The insinuation that the teacher failed the student was only a malicious smear.","b"
"11",1,"was",7,0.75,4.87975,"exp.b.1","was","The insinuation that the teacher failed the student was only a malicious smear.","b"
"12",1,"was",7,0.8,5.76416666666667,"exp.b.1","was","The insinuation that the teacher failed the student was only a malicious smear.","b"
"13",1,"was",7,0.9,6.79575,"exp.b.1","was","The insinuation that the teacher failed the student was only a malicious smear.","b"
"14",2,"was",15,0.1,5.29275,"exp.d.1","was","The insinuation that the teacher who the principal who excelled in leadership liked failed the student was only a malicious smear.","d"
"15",2,"was",15,0.15,4.7615,"exp.d.1","was","The insinuation that the teacher who the principal who excelled in leadership liked failed the student was only a malicious smear.","d"
"16",2,"was",15,0.2,5.40826666666667,"exp.d.1","was","The insinuation that the teacher who the principal who excelled in leadership liked failed the student was only a malicious smear.","d"
